id,name,code,account_type,chart_template_id/id,reconcile
a1110,Pētniecības un uzņēmuma attīstības izmaksas,1110,asset_non_current,l10n_lv.account_chart_template_latvia,False
a1120,"Koncesijas, patenti, licences, preču zīmes un tamlīdzīgas tiesības",1120,asset_non_current,l10n_lv.account_chart_template_latvia,False
a1130,Citi nemateriālie ieguldījumi,1130,asset_non_current,l10n_lv.account_chart_template_latvia,False
a1140,Nemateriālā vērtība,1140,asset_non_current,l10n_lv.account_chart_template_latvia,False
a1180,Avansa maksājumi par nemateriālajiem ieguldījumiem,1150,Prepayments,l10n_lv.account_chart_template_latvia,False
a1191,Attīstības izmaksu norakstītā daļa (pasīvā),1191,asset_non_current,l10n_lv.account_chart_template_latvia,False
a1192,"Koncesiju, patentu, licenču, preču zīmju un tamlīdzīgu tiesību norakstītā daļa (pasīvā)",1192,asset_non_current,l10n_lv.account_chart_template_latvia,False
a1193,Citu nemateriālo ieguldījumu vērtības norakstītā daļa (pasīvā),1193,asset_non_current,l10n_lv.account_chart_template_latvia,False
a1210,"Nekustamā īpašuma objekti: Zemes gabali, ēkas un būves",1210,asset_fixed,l10n_lv.account_chart_template_latvia,False
a1220,Tehnoloģiskās iekārtas un mašīnas,1220,asset_fixed,l10n_lv.account_chart_template_latvia,False
a1230,Pārējie pamatlīdzekļi un inventārs,1230,asset_fixed,l10n_lv.account_chart_template_latvia,False
a1240,Pamatlīdzekļu izveidošanas un nepabeigto celtniecības objektu izmaksas,1240,asset_fixed,l10n_lv.account_chart_template_latvia,False
a1250,Ilgtermiņa ieguldījumi nomātajos pamatlīdzekļos,1250,asset_fixed,l10n_lv.account_chart_template_latvia,False
a1260,Ilgtermiņa ieguldījumi publiskā partnera pamatlīdzekļos,1260,asset_fixed,l10n_lv.account_chart_template_latvia,False
a1280,Avansa maksājumi par pamatlīdzekļiem,1280,Prepayments,l10n_lv.account_chart_template_latvia,False
a1291,"Zemes gabalu, ēku un būvju un ilggadīgo stādījumu nolietojums (pasīvā)",1291,asset_fixed,l10n_lv.account_chart_template_latvia,False
a1292,Iekārtu un mašīnu nolietojums (pasīvā),1292,asset_fixed,l10n_lv.account_chart_template_latvia,False
a1293,Pārējo pamatlīdzekļu un inventāra nolietojums (pasīvā),1293,asset_fixed,l10n_lv.account_chart_template_latvia,False
a1294,Ilgtermiņa ieguldījumu nomātajos pamatlīdzekļos nolietojums (pasīvā),1294,asset_fixed,l10n_lv.account_chart_template_latvia,False
a1310,Zemes gabali,1310,asset_fixed,l10n_lv.account_chart_template_latvia,False
a1320,"Ēkas, būves vai to daļas",1320,asset_fixed,l10n_lv.account_chart_template_latvia,False
